symbol,bsc_address
FDUSD,0xc5f0f7b66764F6ec8C8Dff7BA683102295E16409
BEAT,0xcf3232B85b43BCa90E51D38cc06Cc8bB8C8A3E36
PIEVERSE,0x0e63b9c287e32a05e6b9ab8ee8df88a2760225a9
BTT,0x352Cb5E19b12FC216548a2677bD0fce83BaE434B
NFT,0x20ee7b720f4e4c4ffcb00c4065cdae55271aecca
EDGE,0x70f2eadf1ca1969ff42b0c78e9da519e8937cbaf
FLOKI,0xfb5b838b6cfeedc2873ab27866079ac55363d37e
LDO,0x986854779804799C1d68867F5E03e601E781e41b
B,0x6bdcce4a559076e37755a78ce0c06214e59e4444
FF,0xac23b90a79504865d52b49b327328411a23d4db2
PENDLE,0xb3Ed0A426155B79B898849803E3B36552f7ED507
NEX,0x365de036a1f7dccb621530d517133521debb2013
STG,0xb0d502e938ed5f4df2e681fe6e419ff29631d62b
AXS,0x715d400f88c167884bbcc41c5fea407ed4d2f8a0
TWT,0x4b0f1812e5df2a09796481ff14017e6005508003
HOME,0x4bfaa776991e85e5f8b1255461cbbd216cfc714f
RAY,0x13b6A55662f6591f8B8408Af1C73B017E32eEdB8
COMP,0x52ce071bd9b1c4b00a0b92d298c512478cad67e8
GWEI,0x30117E4bC17d7B044194b76A38365C53b72F7D49
XCN,0x7324c7C0d95CEBC73eEa7E85CbAac0dBdf88a05b
GENIUS,0x1F12B85aAC097E43Aa1555b2881E98a51090e9A6
XPL,0x405FBc9004D857903bFD6b3357792D71a50726b0
BAT,0x101d82428437127bf1608f699cd651e6abf9766e
SKYAI,0x92aa03137385F18539301349dcfC9EbC923fFb10
APE,0x8f86a15EC17cb3369d8b3E666dAdBC11daA82b79
IP,0x4d6394bc3031f751edce368c189b0e060b527107
SFP,0xd41fdb03ba84762dd66a0af1a6c8540ff1ba5dfb
TAG,0x208bf3e7da9639f1eaefa2de78c23396b0682025
NXPC,0xf2b51cc1850fed939658317a22d73d3482767591
AB,0x95034f653d5d161890836ad2b6b8cc49d14e029a
SAHARA,0xFDFfB411C4A70AA7C95D5C981a6Fb4Da867e1111
1INCH,0x111111111117dc0aa78b770fa6a738034120c302
CHEEMS,0x0df0587216a4a1bb7d5082fdc491d93d2dd4b413
BANANAS31,0x3d4f0513e8a29669b960f9dbca61861548a9a760
RIVER,0xdA7AD9dea9397cffdDAE2F8a052B82f1484252B3
MYX,0xD82544bf0dfe8385eF8FA34D67e6e4940CC63e16
RAVE,0x97693439ea2f0ecdeb9135881e49f354656a911c
SNX,0x9ac983826058b8a9c7aa1c9171441191232e8404
FORM,0x5b73A93b4E5e4f1FD27D8b3F8C97D69908b5E284
LAB,0x7ec43Cf65F1663F820427C62A5780b8f2E25593A
HTX,0x61ec85ab89377db65762e234c946b5c25a56e99e
USDf,0xb3b02e4a9fb2bd28cc2ff97b0ab3f6b3ec1ee9d2
CTM,0xc8Fb80fCc03f699C70ff0CC08C09106288888888
BDX,0x6ad12E761b438beA3EA09F6C6266556Bb24C2181
SLX,0x02bcC4C181B83a8c0A342BC003389CbEcb4BC54D
UB,0x40b8129B786D766267A7a118cF8C07E31CDB6Fde
DUCKY,0xaDB50D6a3f931E5b4A14D06A4A77fe71171A462f
FRAX,0x90C97F71E18723b0Cf0dfa30ee176Ab653E89F40
BILL,0xDf24f8c21Cb404B3031a450D8e049D6E39FC1fA5
WFI,0x90c48855bb69f9d2c261efd0d8c7f35990f2dd6f
KOGE,0xe6df05ce8c8301223373cf5b969afcb1498c5528
ALE,0x9dCE13E71B11eb5Df66ca269bD657696587Fd4E2
FRXUSD,0x80Eede496655FB9047dd39d9f418d5483ED600df
GOMINING,0x7Ddc52c4De30e94Be3A6A0A2b259b2850f421989
VCNT,0xc6BDFC4f2E90196738873E824a9eFa03F7c64176
GUA,0xa5c8e1513b6a08334b479fe4d71f1253259469be
DUSD,0xaf44A1E76F56eE12ADBB7ba8acD3CbD474888122
SMILEK,0x4f9d3AdbfAF4579518b1Ca7E06468A363897B997
0G,0x4B948d64dE1F71fCd12fB586f4c776421a35b3eE
BEAM,0x62D0A8458eD7719FDAF978fe5929C6D342B0bFcE
MY,0xf0ebb572643336834d516c485ad31d3299999999
SOON,0xb9E1Fd5A02D3A33b25a14d661414E6ED6954a721
REAL,0x65e7a112dB1142EAE919201b1232f7aA488Ed83c
Q,0xc07e1300dc138601FA6B0b59f8D0FA477e690589
AIOZ,0x33d08D8C7a168333a85285a68C0042b39fC3741D
ZIG,0x8C907e0a72C3d55627E853f4ec6a96b0C8771145
YFI,0x88f1a5ae2a3bf98aeaf342d26b30a79438c9142e
TAC,0x1219c409fabe2c27bd0d1a565daeed9bd9f271de
lisUSD,0x0782b6d8c4551B9760e74c0545a9bCD90bdc41E5
CYS,0x0C69199C1562233640e0Db5Ce2c399A88eB507C7
ZAMA,0x6907a5986c4950bdaf2f81828ec0737ce787519f
TRIA,0xb0b92de23baa85fb06208277e925ced53edab482
HUMA,0x92516e0DDf1dDBF7FAB1b79CaC26689fDC5ba8e6
PLUME,0x5aFadCd1E8E3CA78Ee2D37100102f2aec8Bc0Aa8
ZIL,0xb86abcb37c3a4b64f74f59301aff131a1becc787
XPR,0x5de3939b2f811a61d830e6f52d13b066881412ab
ZETA,0x0000028a2eB8346cd5c0267856aB7594B7a55308
BabyDoge,0xc748673057861a797275cd8a068abb95a902e8de
NILA,0x00f8Da33734FeB9b946fEC2228C25072D2e2E41f
ROSE,0xF00600eBC7633462BC4F9C61eA2cE99F5AAEBd4a
VELO,0xf486ad071f3bee968384d2e39e2d8af0fcf6fd46
UAI,0x3e5d4f8aee0d9b3082d5f6da5d6e225d17ba9ea0
BRETT,0xa7440029eca41deabd8775ef1d6086b37d4df8d6
OPEN,0xa227cc36938f0c9e09ce0e64dfab226cad739447
BSB,0x595deaad1eb5476ff1e649fdb7efc36f1e4679cc
TOSHI,0x6a2608Dabe09bc1128EEC7275B92DFB939D5Db3f
BAS,0x0f0df6cb17ee5e883eddfef9153fc6036bdb4e37
ACH,0xBc7d6B50616989655AfD682fb42743507003056D
AXL,0x8b1f4432F943c465A973FeDC6d7aa50Fc96f1f65
LUR,0xc66B6f38aE5053A109cfd8639E0Ee17EC69cf788
ELF,0xa3f020a5c92e15be13caf0ee5c95cf79585eecc9
KAVA,0x9BAFC8d4b487cEBff201721702507a3E2C67ad79
APR,0x299AD4299Da5b2b93Fba4c96967B040C7F611099
IRYS,0x91152B4Ef635403efBAe860edD0F8c321d7c035d
EURI,0x9d1a7a3191102e9f900faa10540837ba84dcbae7
XUSD,0xF81aC2E1A0373ddE1BcE01E2Fe694a9b7E3bfcB9
BARD,0xd23A186A78c0B3B805505E5f8ea4083295ef9f3a
DUSK,0xb2bd0749dbe21f623d9baba856d3b0f0e1bfec9c
SUSHI,0x947950BcC74888a40Ffa2593C5798F11Fc9124C4
PEAQ,0x8b9Ee39195eA99d6ddD68030F44131116bc218F6
COAI,0x0A8D6C86e1bcE73fE4D0bD531e1a567306836EA5
BDCA,0x0c8382719ef242cae2247e4decb2891fbf699818
XAUM,0x23AE4fd8E7844cdBc97775496eBd0E8248656028
